"","logFC","logCPM","LR","PValue","FDR"
"Bra026978",-7.84044816172463,2.893647427575,257.425498146675,6.24750507067897e-58,8.16046396025534e-56
"Bra006865",-8.71664143266224,2.63537501699897,256.382759242063,1.05440907252984e-57,1.36981987292877e-55
"Bra030498",-3.62532018440043,7.36020404246721,252.418167137099,7.71378230056449e-57,9.96736794686919e-55
"Bra040784",8.78014232272378,2.87076088862948,251.667941318045,1.12413422603418e-56,1.44478299403773e-54
"Bra025497",-4.07017185793336,3.91689548478794,250.358462303196,2.16916148800851e-56,2.7730652767445e-54
"Bra027489",8.74770587713411,2.83595282055574,250.304676814905,2.22852518090726e-56,2.83388223269445e-54
"Bra036100",7.46681480156895,2.87785024371703,250.176166155098,2.37702594832285e-56,3.00681271799955e-54
"Bra031113",8.86105204962696,2.94280459591399,249.702867952245,3.01451393838323e-56,3.79323706780641e-54
"Bra100441",7.04674968313922,3.11839881274937,249.176725259544,3.925745645726e-56,4.91413389840514e-54
"Bra025620",-5.54969624323472,3.65568918226106,247.347965443308,9.83148764392132e-56,1.22430038359588e-53
"Bra010087",9.07132446481963,3.13729892395806,247.110558656545,1.10758823179957e-55,1.37215337953973e-53
"Bra033382",-3.10863339025818,6.19550959673308,246.96919858849,1.18904297202213e-55,1.46551070715794e-53
"Bra023798",4.28487007914138,4.68860045682193,246.798954925104,1.29513202082301e-55,1.58812260145206e-53
"Bra017243",-8.64598365557934,2.56638861311241,246.736190173621,1.33658944032914e-55,1.63063911720156e-53
"Bra012555",6.94196671996146,3.02334378550301,246.289904840335,1.6722363116107e-55,2.02982462188139e-53
"Bra022967",-8.52882875732148,2.47169713385728,246.126427306432,1.81526226003989e-55,2.19236247024114e-53
"Bra004927",-5.61697209553444,3.76429808833974,245.717507130736,2.22891476705563e-55,2.67848687557075e-53
"Bra007582",-9.70408702055043,3.59138220710061,245.458645643825,2.53823352279711e-55,3.03502012372665e-53
"Bra037612",8.64584592827112,2.74851537112367,244.871763394542,3.40790196301577e-55,4.05472850391689e-53
"Bra024175",-3.32948502650093,3.92234994231847,244.075966600967,5.08151659725845e-55,6.01621526593644e-53
"Bra023050",-5.18636896819101,6.42180685348453,243.737223434472,6.02351016967766e-55,7.09652173617808e-53
"Bra038623",-8.7185773988681,2.62183773622168,243.552173793995,6.6099209339241e-55,7.74940681589912e-53
"Bra033451",7.19214384930173,3.65276131417796,243.390537877644,7.1686612259141e-55,8.36367009240871e-53
"Bra019386",2.52801073631424,5.11960421699198,242.389678140669,1.18483957371443e-54,1.37567315529723e-52
"Bra005843",-9.76461633005849,3.65221102902216,241.918925297259,1.50072443702428e-54,1.73405822689623e-52
"Bra023264",-2.99040433234114,4.39356664650996,241.512209561124,1.84068964227894e-54,2.11670501734603e-52
"Bra038578",6.93090662983369,3.00799696747816,240.190536783445,3.5740454359599e-54,4.0904099051362e-52
"Bra021806",-6.32554589336162,3.82878770548494,240.102229514076,3.73606950862654e-54,4.25557794172181e-52
"Bra030108",5.4540410107338,3.78233279688923,240.040090095462,3.85446492438608e-54,4.36972688644789e-52
"Bra030641",7.626537475309,3.0197860441421,239.717076508656,4.53310337206813e-54,5.11495804902748e-52
"Bra018065",-6.72633688332295,6.01903120070889,239.638818130889,4.71475940660263e-54,5.27645079409827e-52
"Bra006468",6.43949889149522,3.31121069791682,239.636549068789,4.72013364704638e-54,5.27645079409827e-52
"Bra020826",4.46940846904447,3.45954242845132,238.727878126824,7.44882694575551e-54,8.28819938955037e-52
"Bra012689",-8.51220906897531,2.43108858250433,237.078639337448,1.70493762952889e-53,1.88831663539619e-51
"Bra021166",-3.89434211182988,4.67638695907053,236.322105436402,2.49273459331225e-53,2.74818271631498e-51
"Bra017376",-4.35545761278748,3.9299750831972,236.093388965785,2.79608074002109e-53,3.0685390185236e-51
"Bra019154",6.66183188786479,3.19310406254434,235.444029158359,3.873909778767e-53,4.23207034649482e-51
"Bra033517",3.79033315609119,3.99269650196187,232.860111737588,1.41780429040982e-52,1.54187820433075e-50
"Bra006005_Bra006006",-4.30566701674515,3.31571166888753,232.38917549339,1.79603458277663e-52,1.94440969200241e-50
"Bra026682",-8.68323975297053,2.6530064442438,231.676368968975,2.56897639456377e-52,2.76873446936976e-50
"Bra026723",-3.21481902756773,3.75767302294638,231.459915703164,2.86393792463633e-52,3.07285196788882e-50
"Bra021628",4.0875770975271,4.30939014033212,230.932019870397,3.73324371856734e-52,3.98776797920211e-50
"Bra022923",-6.76130902804025,4.93843128379047,230.857267566284,3.87604048907444e-52,4.12198040329271e-50
"Bra019066",-8.95964836056293,2.88492112824417,230.368160005617,4.95511001079116e-52,5.24630458146937e-50
"Bra033016",-3.49742286532077,4.44495488163616,229.584948136403,7.34275136145718e-52,7.74016167637113e-50
"Bra028794",-4.0730719113051,5.51455733651338,228.672789606225,1.16088341188684e-51,1.21836995289469e-49
"Bra021821",5.61863117931662,4.87470351497481,228.529062192582,1.24776837428235e-51,1.30386370032617e-49
"Bra036043",4.56286692082931,3.32502888788872,228.028215452423,1.60458896304987e-51,1.66946714882859e-49
"Bra024619",-4.50819021895049,3.63001207612747,227.724484163033,1.86898216298521e-51,1.93616884936149e-49
"Bra031756",-8.45420256708646,2.41112083273957,227.397206455909,2.20283628900108e-51,2.27223035922112e-49
"Bra026579",-8.46513209721403,2.37837699421667,227.143258497448,2.50245840696508e-51,2.57026005782046e-49
"Bra036648",3.33921902555372,4.47986354320149,227.012882356957,2.67178364345034e-51,2.73249566326321e-49
