"","logFC","logCPM","LR","PValue","FDR"
"Bra028523",-1.7959390926344,6.27909311428364,15.3776534325769,8.80231487713568e-05,0.00907960668485318
"Bra000754",-2.38622986006712,3.27125335132976,15.3569848294482,8.89913227261687e-05,0.00914024551453307
"Bra038321",1.5871526252507,7.14871299908245,15.3374538085935,8.991605454415e-05,0.00916781561606696
"Bra019742",4.20430004952434,7.26572464736333,15.3352153365791,9.00226547970294e-05,0.00916781561606696
"Bra031771",1.97921215850114,5.80731396064462,15.3187036890803,9.08129091720254e-05,0.00920236841812768
"Bra019357",-1.3866336193546,4.96991143411891,15.3069690899697,9.13787718377805e-05,0.00920236841812768
"Bra011961",-1.43283006238734,6.95603360967175,15.3042455501026,9.1510612130004e-05,0.00920236841812768
"Bra024675",2.36237851966244,3.78330319111877,15.2915797436228,9.21262539763413e-05,0.00922567661694745
"Bra008780",2.20841480364257,6.51985448539042,15.2302641557958,9.51660394590112e-05,0.00948101003455421
"Bra010283",-1.84569707154859,3.92149599113312,15.224341746441,9.54649425131946e-05,0.00948101003455421
"Bra015323",2.01979943229256,4.5407660439493,15.1490448702356,9.93485579848656e-05,0.00982610387904634
"Bra005469",1.92042906718882,7.75243451996777,15.1155484971203,0.000101126938808354,0.00983994098313982
"Bra012607",1.84981685879864,6.65827433536042,15.1124617243707,0.000101292424511989,0.00983994098313982
"Bra034140",2.27048469921327,4.75449247938178,15.1073919786251,0.000101564811445649,0.00983994098313982
"Bra000534",-1.64855722696406,5.39957235075621,15.1060736433371,0.000101635763557767,0.00983994098313982
"Bra012597",2.59692469376454,2.76043259105376,15.0951089316313,0.000102227814661139,0.00983994098313982
"Bra028400",1.90189482058492,5.31324712418192,15.0919281470375,0.000102400213058457,0.00983994098313982
"Bra030116",1.40637763335075,6.346832315201,15.0896273324075,0.000102525099462875,0.00983994098313982
"Bra004581",2.4198132587965,5.95238654634217,15.0852375140211,0.000102763800730968,0.00983994098313982
"Bra009182",2.83753796425987,2.36782663180544,15.0753323625397,0.00010330446124777,0.0098524580223369
"Bra101149",3.94174510734261,2.50486297360693,15.0660148563422,0.000103815658699759,0.00986207723790515
"Bra027206",1.2847003922502,6.19830362065738,15.0450802141282,0.000104973526550472,0.00993280998863793
"Bra006173",-2.43676907704655,2.13955545163732,15.0322655118081,0.000105688695027761,0.00996126312273411
